วันนี้โคตรเฟล ทำอะไรก็ผิดไปหมด | neg
เหนื่อยจนอยากจะทิ้งทุกอย่างแล้วนอนเฉยๆ | neg
โดนหัวหน้าบ่นฉ่ำตั้งแต่เช้ายันเย็น ปวดหัว | neg
รู้สึกดิ่งๆ บอกไม่ถูก เหมือนไม่มีแรงทำอะไร | neg
นอยด์ว่ะ ทำไมเพื่อนถึงพูดแบบนั้น | neg
ฝนตก รถติด ชีวิตสู้กลับมาก | neg
หมดไฟแล้วนะ พรุ่งนี้ไม่อยากลุกจากเตียงเลย | neg
แค่หายใจก็เหนื่อยแล้วเอาจริง | neg
รู้สึกตัวเองไร้ค่าแปลกๆ วันนี้ไม่ได้เรื่องเลย | neg
เครียดเรื่องเงิน หมุนไม่ทันแล้ว | neg
เบื่อสังคมที่ทำงาน ใส่หน้ากากเข้าหากัน | neg
ทะเลาะกับแฟนเรื่องเดิมๆ | neg
นอนไม่หลับมา 3 คืนแล้ว ทรมาน | neg
เศร้าแบบไม่มีสาเหตุ อยู่ดีๆ น้ำตาก็ไหล | neg
งานเยอะจนจะขิตแล้ว ช่วยด้วย | neg
เกลียดตัวเองตอนที่ไม่กล้าตัดสินใจ | neg
เฟล ตั้งใจทำแทบตายแต่ไม่มีใครเห็นค่า | neg
วันนี้เจอเรื่องแย่ๆ ถาโถมเข้ามาพร้อมกัน | neg
อยากหนีไปไกลๆ ไม่อยากรับรู้อะไรแล้ว | neg
หงุดหงิดง่ายไปหมด อะไรนิดหน่อยก็โกรธ | neg
รู้สึกแย่ที่ควบคุมอารมณ์ตัวเองไม่ได้ | neg
ผิดหวังว่ะ นึกว่าจะทำได้ดีกว่านี้ | neg
โลกใจร้ายกับเราเกินไปไหมช่วงนี้ | neg
เหงาจับใจเลยคืนนี้ | neg
กังวลไปหมด กลัวทำออกมาไม่ดี | neg
สภาพคือไม่ไหวแล้ว ร่างกายต้องการพัก | neg
เจ็บใจที่โดนหลอกซ้ำซาก | neg
อิจฉาคนอื่นที่เขาดูมีความสุขจัง | neg
เบื่ออาหาร กินอะไรไม่ลงเลย | neg
รู้สึกว่างเปล่าข้างใน เหมือนอะไรหายไป | neg
แย่ชะมัด ลืมของสำคัญไว้ที่บ้าน | neg
ไม่ชอบบรรยากาศอึดอัดแบบนี้เลย | neg
โดนเทเฉย งงมากแม่ | neg
วันนี้ตื่นสายไปหน่อย แต่ก็ไปทำงานทัน | neu
มื้อเที่ยงกินกะเพราไข่ดาวร้านเดิม | neu
ฝนตกปรอยๆ อากาศเย็นสบายดี | neu
นั่งเคลียร์งานเอกสารทั้งวัน ไม่มีอะไรพิเศษ | neu
กลับถึงห้องแล้ว อาบน้ำเตรียมเข้านอน | neu
